AdminId,Username,PasswordHash,CreatedAt
2889e6e1-472e-40a8-92aa-79f6dcd17b73,admin1,admin-hash,2025-11-17 16:41:20.312479+00:00
9c2ac64e-9bbe-4c90-8a74-1e92a9ef739e,admin2,admin-hash,2025-11-17 16:41:20.312479+00:00
a59f9b36-0d0c-4bc7-8350-d03421b82e62,admin3,admin-hash,2025-11-17 16:41:20.312479+00:00
36dd413a-0cae-44f3-b04e-73b6c62965c3,admin4,admin-hash,2025-11-17 16:41:20.312479+00:00
27ac2e84-b082-4472-901d-17fe14a77f00,admin5,admin-hash,2025-11-17 16:41:20.312479+00:00
5e9497a7-386e-48fc-969c-c7238d209cb2,admin6,admin-hash,2025-11-17 16:41:20.312479+00:00
83babf5b-c000-4f8c-9a19-f78af558fc51,admin7,admin-hash,2025-11-17 16:41:20.312479+00:00
dc3990cc-9f42-4dd9-a030-5580cea1090c,admin8,admin-hash,2025-11-17 16:41:20.312479+00:00
80ac8310-d2b4-4e1f-aee8-7ed22b9a628f,admin9,admin-hash,2025-11-17 16:41:20.312479+00:00
89c15290-856d-4b55-aeda-b09ab14754b0,admin10,admin-hash,2025-11-17 16:41:20.312479+00:00
