OperatorId,Email,Username,PasswordHash,ApprovedByAdmin,ApprovedAt,CreatedAt
53764f8c-885a-4654-88b0-f7778af7c419,operator1@example.com,operator1,operator-hash,80ac8310-d2b4-4e1f-aee8-7ed22b9a628f,2025-11-17 16:41:20.312479+00:00,2025-11-17 16:41:20.312479+00:00
334ba1f3-d516-4538-9d7f-91bd814e36e3,operator2@example.com,operator2,operator-hash,5e9497a7-386e-48fc-969c-c7238d209cb2,2025-11-17 16:41:20.312479+00:00,2025-11-17 16:41:20.312479+00:00
53530a69-ea88-49ee-8bb7-b1babff91e37,operator3@example.com,operator3,operator-hash,83babf5b-c000-4f8c-9a19-f78af558fc51,2025-11-17 16:41:20.312479+00:00,2025-11-17 16:41:20.312479+00:00
b773fe07-e0b7-4707-93cb-db178ed5e694,operator4@example.com,operator4,operator-hash,a59f9b36-0d0c-4bc7-8350-d03421b82e62,2025-11-17 16:41:20.312479+00:00,2025-11-17 16:41:20.312479+00:00
a2270215-59cf-4a19-8183-f5d73436ddbc,operator5@example.com,operator5,operator-hash,9c2ac64e-9bbe-4c90-8a74-1e92a9ef739e,2025-11-17 16:41:20.312479+00:00,2025-11-17 16:41:20.312479+00:00
f6a6e68e-783a-470d-bb93-5329120ec5ff,operator6@example.com,operator6,operator-hash,a59f9b36-0d0c-4bc7-8350-d03421b82e62,2025-11-17 16:41:20.312479+00:00,2025-11-17 16:41:20.312479+00:00
c2d0f8f8-311a-4d6e-8ae5-221d4eb18af5,operator7@example.com,operator7,operator-hash,27ac2e84-b082-4472-901d-17fe14a77f00,2025-11-17 16:41:20.312479+00:00,2025-11-17 16:41:20.312479+00:00
67106716-237c-4d2c-bac7-4e2b4fd4f679,operator8@example.com,operator8,operator-hash,27ac2e84-b082-4472-901d-17fe14a77f00,2025-11-17 16:41:20.312479+00:00,2025-11-17 16:41:20.312479+00:00
dca5f83b-c2ac-4cd0-b4f1-ead4194a818b,operator9@example.com,operator9,operator-hash,9c2ac64e-9bbe-4c90-8a74-1e92a9ef739e,2025-11-17 16:41:20.312479+00:00,2025-11-17 16:41:20.312479+00:00
2669b979-a248-4337-88d9-b98afb97ea53,operator10@example.com,operator10,operator-hash,5e9497a7-386e-48fc-969c-c7238d209cb2,2025-11-17 16:41:20.312479+00:00,2025-11-17 16:41:20.312479+00:00
efa5b180-69dc-4fb2-99a7-44fb145fcfa0,operator11@example.com,operator11,operator-hash,36dd413a-0cae-44f3-b04e-73b6c62965c3,2025-11-17 16:41:20.312479+00:00,2025-11-17 16:41:20.312479+00:00
4795a056-245e-45cd-abc4-77e791365818,operator12@example.com,operator12,operator-hash,2889e6e1-472e-40a8-92aa-79f6dcd17b73,2025-11-17 16:41:20.312479+00:00,2025-11-17 16:41:20.312479+00:00
b7f280f7-c3a1-45e6-b311-af6687d81529,operator13@example.com,operator13,operator-hash,2889e6e1-472e-40a8-92aa-79f6dcd17b73,2025-11-17 16:41:20.312479+00:00,2025-11-17 16:41:20.312479+00:00
343032a4-292d-4257-b7fc-dc38d39d6a85,operator14@example.com,operator14,operator-hash,83babf5b-c000-4f8c-9a19-f78af558fc51,2025-11-17 16:41:20.312479+00:00,2025-11-17 16:41:20.312479+00:00
cffa4bee-d883-4694-a6bd-a8db8cde417b,operator15@example.com,operator15,operator-hash,80ac8310-d2b4-4e1f-aee8-7ed22b9a628f,2025-11-17 16:41:20.312479+00:00,2025-11-17 16:41:20.312479+00:00
c60b5209-fbf3-4e5b-9975-7eca2e46192f,operator16@example.com,operator16,operator-hash,a59f9b36-0d0c-4bc7-8350-d03421b82e62,2025-11-17 16:41:20.312479+00:00,2025-11-17 16:41:20.312479+00:00
d7d34ac5-aad7-46a7-852d-970edfe4451c,operator17@example.com,operator17,operator-hash,27ac2e84-b082-4472-901d-17fe14a77f00,2025-11-17 16:41:20.312479+00:00,2025-11-17 16:41:20.312479+00:00
ba2848c3-c062-4643-a13a-65a095eaa6a1,operator18@example.com,operator18,operator-hash,27ac2e84-b082-4472-901d-17fe14a77f00,2025-11-17 16:41:20.312479+00:00,2025-11-17 16:41:20.312479+00:00
085aa5e6-e269-43f4-9c4c-8e3592a23a39,operator19@example.com,operator19,operator-hash,a59f9b36-0d0c-4bc7-8350-d03421b82e62,2025-11-17 16:41:20.312479+00:00,2025-11-17 16:41:20.312479+00:00
b5d57e86-af3e-4bff-954a-0743279e79cf,operator20@example.com,operator20,operator-hash,dc3990cc-9f42-4dd9-a030-5580cea1090c,2025-11-17 16:41:20.312479+00:00,2025-11-17 16:41:20.312479+00:00
9ab506ac-0b0e-4b4a-9fbc-f89bb2952be4,operator21@example.com,operator21,operator-hash,27ac2e84-b082-4472-901d-17fe14a77f00,2025-11-17 16:41:20.312479+00:00,2025-11-17 16:41:20.312479+00:00
35367b78-1eba-4cb6-8229-060e91c8212e,operator22@example.com,operator22,operator-hash,2889e6e1-472e-40a8-92aa-79f6dcd17b73,2025-11-17 16:41:20.312479+00:00,2025-11-17 16:41:20.312479+00:00
4233ca0f-8fa4-4373-8f97-a02e1db66e64,operator23@example.com,operator23,operator-hash,36dd413a-0cae-44f3-b04e-73b6c62965c3,2025-11-17 16:41:20.312479+00:00,2025-11-17 16:41:20.312479+00:00
bee87ac2-07ba-48f6-bfee-b16e4a1abb3a,operator24@example.com,operator24,operator-hash,dc3990cc-9f42-4dd9-a030-5580cea1090c,2025-11-17 16:41:20.312479+00:00,2025-11-17 16:41:20.312479+00:00
8406d34e-8304-4a43-b415-5fedd4f96098,operator25@example.com,operator25,operator-hash,2889e6e1-472e-40a8-92aa-79f6dcd17b73,2025-11-17 16:41:20.312479+00:00,2025-11-17 16:41:20.312479+00:00
ef3842ba-bce1-4ecf-9dfb-199b8acc0e10,operator26@example.com,operator26,operator-hash,2889e6e1-472e-40a8-92aa-79f6dcd17b73,2025-11-17 16:41:20.312479+00:00,2025-11-17 16:41:20.312479+00:00
7206ca71-2eb7-48e4-a5fb-5163f0af2f05,operator27@example.com,operator27,operator-hash,27ac2e84-b082-4472-901d-17fe14a77f00,2025-11-17 16:41:20.312479+00:00,2025-11-17 16:41:20.312479+00:00
8b975889-7165-46f8-b948-ed42f5d89c42,operator28@example.com,operator28,operator-hash,80ac8310-d2b4-4e1f-aee8-7ed22b9a628f,2025-11-17 16:41:20.312479+00:00,2025-11-17 16:41:20.312479+00:00
6cbd58cc-d648-48a4-82c0-efe311f28296,operator29@example.com,operator29,operator-hash,a59f9b36-0d0c-4bc7-8350-d03421b82e62,2025-11-17 16:41:20.312479+00:00,2025-11-17 16:41:20.312479+00:00
e6e66f71-2796-4d2d-96a4-10f453c387ee,operator30@example.com,operator30,operator-hash,89c15290-856d-4b55-aeda-b09ab14754b0,2025-11-17 16:41:20.312479+00:00,2025-11-17 16:41:20.312479+00:00
c4e45dc4-34a1-48d6-9f01-c256ef036679,operator31@example.com,operator31,operator-hash,27ac2e84-b082-4472-901d-17fe14a77f00,2025-11-17 16:41:20.312479+00:00,2025-11-17 16:41:20.312479+00:00
ca9aeb71-b04c-4bcc-a4c0-e3b59beacd14,operator32@example.com,operator32,operator-hash,36dd413a-0cae-44f3-b04e-73b6c62965c3,2025-11-17 16:41:20.312479+00:00,2025-11-17 16:41:20.312479+00:00
35980050-6542-411a-bad2-727296a89e2e,operator33@example.com,operator33,operator-hash,dc3990cc-9f42-4dd9-a030-5580cea1090c,2025-11-17 16:41:20.312479+00:00,2025-11-17 16:41:20.312479+00:00
827a638d-08b4-4fac-a5d1-5668d9e4fa5b,operator34@example.com,operator34,operator-hash,a59f9b36-0d0c-4bc7-8350-d03421b82e62,2025-11-17 16:41:20.312479+00:00,2025-11-17 16:41:20.312479+00:00
f6bfc4bc-46ca-41d4-aab5-a761fef42c96,operator35@example.com,operator35,operator-hash,80ac8310-d2b4-4e1f-aee8-7ed22b9a628f,2025-11-17 16:41:20.312479+00:00,2025-11-17 16:41:20.312479+00:00
b642c220-9478-4e05-8c82-34ee70c073f3,operator36@example.com,operator36,operator-hash,5e9497a7-386e-48fc-969c-c7238d209cb2,2025-11-17 16:41:20.312479+00:00,2025-11-17 16:41:20.312479+00:00
ceaaaff7-24ee-4553-ba94-fc21455d53a6,operator37@example.com,operator37,operator-hash,dc3990cc-9f42-4dd9-a030-5580cea1090c,2025-11-17 16:41:20.312479+00:00,2025-11-17 16:41:20.312479+00:00
8880985d-fcb6-46f2-9eb7-3d828c6ff55a,operator38@example.com,operator38,operator-hash,9c2ac64e-9bbe-4c90-8a74-1e92a9ef739e,2025-11-17 16:41:20.312479+00:00,2025-11-17 16:41:20.312479+00:00
61e16039-be0a-470e-8aa4-3cca64f7f82d,operator39@example.com,operator39,operator-hash,2889e6e1-472e-40a8-92aa-79f6dcd17b73,2025-11-17 16:41:20.312479+00:00,2025-11-17 16:41:20.312479+00:00
6f5d76e6-22bc-4ea6-b6d1-3f6fea7cfafc,operator40@example.com,operator40,operator-hash,5e9497a7-386e-48fc-969c-c7238d209cb2,2025-11-17 16:41:20.312479+00:00,2025-11-17 16:41:20.312479+00:00
99674729-6067-4861-8474-d2e64b50712c,operator41@example.com,operator41,operator-hash,a59f9b36-0d0c-4bc7-8350-d03421b82e62,2025-11-17 16:41:20.312479+00:00,2025-11-17 16:41:20.312479+00:00
443dee6f-04df-4a8c-a06d-4d086c2e845a,operator42@example.com,operator42,operator-hash,89c15290-856d-4b55-aeda-b09ab14754b0,2025-11-17 16:41:20.312479+00:00,2025-11-17 16:41:20.312479+00:00
9abf7ab3-4409-42aa-91f3-d1de3f1664b9,operator43@example.com,operator43,operator-hash,dc3990cc-9f42-4dd9-a030-5580cea1090c,2025-11-17 16:41:20.312479+00:00,2025-11-17 16:41:20.312479+00:00
bf0351a9-74ec-48c4-9211-4b86a618f8f1,operator44@example.com,operator44,operator-hash,5e9497a7-386e-48fc-969c-c7238d209cb2,2025-11-17 16:41:20.312479+00:00,2025-11-17 16:41:20.312479+00:00
201ec961-febf-40e8-b6a9-1bcd4368f2bd,operator45@example.com,operator45,operator-hash,dc3990cc-9f42-4dd9-a030-5580cea1090c,2025-11-17 16:41:20.312479+00:00,2025-11-17 16:41:20.312479+00:00
a405c81e-5377-412f-a086-f6408510bd79,operator46@example.com,operator46,operator-hash,80ac8310-d2b4-4e1f-aee8-7ed22b9a628f,2025-11-17 16:41:20.312479+00:00,2025-11-17 16:41:20.312479+00:00
9aa77090-0491-4239-86ec-cb0120d681e9,operator47@example.com,operator47,operator-hash,83babf5b-c000-4f8c-9a19-f78af558fc51,2025-11-17 16:41:20.312479+00:00,2025-11-17 16:41:20.312479+00:00
b210227d-c4f0-4ff8-a440-fd08ab7d3ee4,operator48@example.com,operator48,operator-hash,dc3990cc-9f42-4dd9-a030-5580cea1090c,2025-11-17 16:41:20.312479+00:00,2025-11-17 16:41:20.312479+00:00
7464fa66-6977-42de-bfd1-8a3294700530,operator49@example.com,operator49,operator-hash,5e9497a7-386e-48fc-969c-c7238d209cb2,2025-11-17 16:41:20.312479+00:00,2025-11-17 16:41:20.312479+00:00
bfc9e4c5-5ab4-4091-9935-4c27849ff3cc,operator50@example.com,operator50,operator-hash,a59f9b36-0d0c-4bc7-8350-d03421b82e62,2025-11-17 16:41:20.312479+00:00,2025-11-17 16:41:20.312479+00:00
